Array size, Non-SIMD, SIMD, mult speedup, Non-SIMD sum, SIMD sum, sum speedup
         512    ,    123.10     ,    619.09     ,  5.03 ,    130.86     ,    607.46     ,  4.64
        1024    ,    118.57     ,    645.63     ,  5.45 ,    142.89     ,    700.77     ,  4.90
        2048    ,    131.47     ,    723.60     ,  5.50 ,    143.59     ,    721.23     ,  5.02
        4096    ,    132.74     ,    722.29     ,  5.44 ,    143.91     ,    729.97     ,  5.07
        8192    ,    194.57     ,   1061.43     ,  5.46 ,    210.39     ,   1066.19     ,  5.07
       16384    ,    215.06     ,   1176.73     ,  5.47 ,    243.80     ,   1236.88     ,  5.07
       32768    ,    297.38     ,   1563.47     ,  5.26 ,    332.05     ,   1688.71     ,  5.09
       65536    ,    174.77     ,    992.49     ,  5.68 ,    232.61     ,   1184.44     ,  5.09
      131072    ,    328.18     ,   1672.06     ,  5.09 ,    354.51     ,   1804.30     ,  5.09
      262144    ,    328.34     ,   1543.11     ,  4.70 ,    314.21     ,    934.59     ,  2.97
      524288    ,    307.36     ,   1592.12     ,  5.18 ,    331.92     ,   1646.47     ,  4.96
     1048576    ,    327.29     ,   1593.28     ,  4.87 ,    331.52     ,   1644.55     ,  4.96
     2097152    ,    309.45     ,    730.36     ,  2.36 ,    331.39     ,   1668.67     ,  5.04
     4194304    ,    289.15     ,    896.02     ,  3.10 ,    324.01     ,   1646.76     ,  5.08
     8388608    ,    297.76     ,    937.66     ,  3.15 ,    336.65     ,   1604.56     ,  4.77
