Number of threads, Array size, Non-SIMD, SIMD, Mult speedup, Non-SIMD sum, SIMD sum, Sum speedup
   1    ,          512  ,     70.27     ,    133.27     ,  1.90 ,     83.02     ,    132.25     ,  1.59
   2    ,          512  ,     56.54     ,     73.89     ,  1.31 ,     63.32     ,     73.48     ,  1.16
   3    ,          512  ,     69.66     ,     75.93     ,  1.09 ,     77.29     ,     86.51     ,  1.12
   4    ,          512  ,    124.07     ,     95.01     ,  0.77 ,    123.29     ,    137.89     ,  1.12
   6    ,          512  ,     81.49     ,     65.21     ,  0.80 ,     69.03     ,     55.25     ,  0.80
   8    ,          512  ,     60.63     ,     64.53     ,  1.06 ,     58.77     ,     78.10     ,  1.33
  12    ,          512  ,     67.85     ,     46.04     ,  0.68 ,     50.36     ,     75.57     ,  1.50
   1    ,         1024  ,    121.40     ,    259.62     ,  2.14 ,    126.60     ,    260.05     ,  2.05
   2    ,         1024  ,     97.25     ,    142.17     ,  1.46 ,    101.11     ,    132.47     ,  1.31
   3    ,         1024  ,    199.91     ,    242.45     ,  1.21 ,    200.28     ,    249.55     ,  1.25
   4    ,         1024  ,    109.07     ,    104.31     ,  0.96 ,     87.60     ,    104.74     ,  1.20
   6    ,         1024  ,    116.62     ,    134.53     ,  1.15 ,    129.64     ,    116.50     ,  0.90
   8    ,         1024  ,     89.51     ,    125.64     ,  1.40 ,     96.29     ,    174.91     ,  1.82
  12    ,         1024  ,    108.74     ,    106.36     ,  0.98 ,    140.32     ,    132.26     ,  0.94
   1    ,         2048  ,    146.83     ,    413.43     ,  2.82 ,    155.33     ,    415.07     ,  2.67
   2    ,         2048  ,    150.30     ,    218.53     ,  1.45 ,    134.69     ,    214.48     ,  1.59
   3    ,         2048  ,    175.64     ,    272.97     ,  1.55 ,    169.94     ,    240.86     ,  1.42
   4    ,         2048  ,    190.03     ,    291.15     ,  1.53 ,    167.79     ,    218.22     ,  1.30
   6    ,         2048  ,    194.93     ,    261.79     ,  1.34 ,    237.99     ,    244.53     ,  1.03
   8    ,         2048  ,    238.84     ,    316.77     ,  1.33 ,    249.69     ,    260.89     ,  1.04
  12    ,         2048  ,    258.31     ,    230.29     ,  0.89 ,    164.93     ,    178.75     ,  1.08
   1    ,         4096  ,    127.13     ,    450.76     ,  3.55 ,    135.55     ,    455.19     ,  3.36
   2    ,         4096  ,    207.27     ,    467.38     ,  2.25 ,    253.10     ,    518.21     ,  2.05
   3    ,         4096  ,    231.49     ,    401.10     ,  1.73 ,    230.34     ,    404.20     ,  1.75
   4    ,         4096  ,    362.04     ,    553.28     ,  1.53 ,    313.83     ,    917.60     ,  2.92
   6    ,         4096  ,    459.57     ,    539.11     ,  1.17 ,    309.85     ,    700.55     ,  2.26
   8    ,         4096  ,    408.32     ,    639.44     ,  1.57 ,    332.28     ,    516.20     ,  1.55
  12    ,         4096  ,    433.05     ,    540.30     ,  1.25 ,    310.90     ,    617.79     ,  1.99
   1    ,         8192  ,    123.51     ,    522.92     ,  4.23 ,    144.54     ,    572.96     ,  3.96
   2    ,         8192  ,    259.20     ,    676.67     ,  2.61 ,    274.96     ,    815.51     ,  2.97
   3    ,         8192  ,    291.84     ,    733.01     ,  2.51 ,    393.93     ,   1054.43     ,  2.68
   4    ,         8192  ,    374.16     ,    800.81     ,  2.14 ,    405.61     ,    705.95     ,  1.74
   6    ,         8192  ,    502.12     ,    913.22     ,  1.82 ,    517.02     ,    882.88     ,  1.71
   8    ,         8192  ,    528.01     ,   1087.41     ,  2.06 ,    732.82     ,   1263.44     ,  1.72
  12    ,         8192  ,    643.41     ,    969.69     ,  1.51 ,    723.66     ,   1281.48     ,  1.77
   1    ,        16384  ,    311.40     ,   1333.95     ,  4.28 ,    337.12     ,   1425.97     ,  4.23
   2    ,        16384  ,    527.96     ,   1659.95     ,  3.14 ,    573.17     ,   1856.30     ,  3.24
   3    ,        16384  ,    352.56     ,   1050.09     ,  2.98 ,    374.38     ,   1159.75     ,  3.10
   4    ,        16384  ,    517.02     ,   1796.40     ,  3.47 ,    551.17     ,   2409.56     ,  4.37
   6    ,        16384  ,    539.69     ,   1366.38     ,  2.53 ,    732.34     ,   2302.34     ,  3.14
   8    ,        16384  ,    712.35     ,   1337.50     ,  1.88 ,    663.28     ,   1699.07     ,  2.56
  12    ,        16384  ,    780.18     ,   1311.87     ,  1.68 ,    668.04     ,   1794.02     ,  2.69
   1    ,        32768  ,    317.62     ,   1318.61     ,  4.15 ,    321.03     ,   1431.89     ,  4.46
   2    ,        32768  ,    266.39     ,   1109.29     ,  4.16 ,    306.29     ,   1187.70     ,  3.88
   3    ,        32768  ,    392.46     ,   1610.86     ,  4.10 ,    445.77     ,   1581.25     ,  3.55
   4    ,        32768  ,    483.12     ,   1637.17     ,  3.39 ,    561.43     ,   2302.64     ,  4.10
   6    ,        32768  ,    726.03     ,   1936.29     ,  2.67 ,    812.83     ,   2319.64     ,  2.85
   8    ,        32768  ,    995.01     ,   1949.81     ,  1.96 ,   1057.60     ,   3183.24     ,  3.01
  12    ,        32768  ,    827.65     ,   2120.05     ,  2.56 ,    908.97     ,   3838.99     ,  4.22
   1    ,        65536  ,    171.75     ,    865.33     ,  5.04 ,    218.12     ,   1096.15     ,  5.03
   2    ,        65536  ,    294.93     ,   1310.26     ,  4.44 ,    361.26     ,   1826.05     ,  5.05
   3    ,        65536  ,    405.40     ,   2017.05     ,  4.98 ,    500.72     ,   2495.70     ,  4.98
   4    ,        65536  ,    531.44     ,   2131.03     ,  4.01 ,    618.20     ,   2744.17     ,  4.44
